file,chuffed_time,chuffed_totalTime,chuffed_propagations,chuffed_failures,noc_bool_time,noc_bool_totalTime,noc_bool_conflicts,noc_int_time,noc_int_totalTime,noc_int_conflicts,noc_int_eagerLits,noc_int_lazyLits,noc_int_cpCalls,lazy_default_time,lazy_default_totalTime,lazy_default_conflicts,lazy_default_cpCalls,lazy_custom_time,lazy_custom_totalTime,lazy_custom_conflicts,lazy_custom_cpCalls,eager_default_time,eager_default_totalTime,eager_default_conflicts,eager_default_cpCalls,eager_custom_time,eager_custom_totalTime,eager_custom_conflicts,eager_custom_cpCalls,balanced_custom_time,balanced_custom_totalTime,balanced_custom_conflicts,balanced_custom_cpCalls,chuffed_status,eager_custom_status,eager_default_status,balanced_custom_status,lazy_custom_status,noc_int_status,noc_bool_status,lazy_default_status
ABP(BW)_SWP_(datasize=4_capacity=1_windowsize=1)eq=branching-sim.dzn,1.794193029,1.74,1,1,0.19485023,0.08056225,1,0.914233434,0.791432875,1,,,,0.895800257,0.487280792,1,,0.910476649,0.780178125,1,,0.915145099,0.775464708,1,,0.92013073,0.787696417,1,,0.918590617,0.793558625,1,,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT
ABP(BW)_SWP_(datasize=4_capacity=1_windowsize=1)eq=strong-bisim.dzn,0.012767911,0.001,1,1,0.011238587,6.88E-05,1,0.011131454,6.43E-05,1,,,,0.01072948,4.23E-05,1,,0.011063695,6.89E-05,1,,0.01114198,6.91E-05,1,,0.010781717,5.09E-05,1,,0.011118865,6.81E-05,1,,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT
ABP(BW)_SWP_(datasize=4_capacity=1_windowsize=1)eq=weak-bisim.dzn,2.239973783,2.192,1,1,0.272128654,0.160401083,1,0.534399891,0.402404083,1,,,,0.545818555,0.426332125,1,,0.534089279,0.4117245,1,,0.546831918,0.4085285,1,,0.550330019,0.424108333,1,,0.556249273,0.435787333,1,,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT
ABP(BW)datasize=2_infinitely_often_enabled_then_infinitely_often_taken.dzn,0.023415172,0.008,256,0,0.01890254,0.007694542,1,0.018023777,0.006463667,1,753,0,233,0.017951989,0.005270708,1,233,0.068842804,0.046821625,1,228,0.019084513,0.006442667,1,233,0.072870612,0.046185542,1,228,0.082245755,0.059499833,1,228,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=2_infinitely_often_read_write.dzn,0.014278519,0.001,37,0,0.012363505,0.001035166,1,0.012004733,0.000859125,1,89,0,31,0.012149417,0.000587958,1,31,0.013106573,0.00114175,1,29,0.012158298,0.000883041,1,31,0.01295929,0.001903917,1,29,0.013477576,0.001918917,1,29,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=2_infinitely_often_receive_d1.dzn,0.016023362,0.001,42,0,0.012192488,0.000824416,1,0.011854005,0.000433125,1,82,0,36,0.012173533,0.000470291,1,36,0.01280787,0.001210667,1,26,0.012100542,0.00061725,1,36,0.012871742,0.001221417,1,26,0.012734473,0.001201708,1,26,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=2_infinitely_often_receive_for_all_d.dzn,0.017885315,0.002,44,0,0.012483048,0.001155625,1,0.011984777,0.000872084,1,183,0,38,0.01708895,0.001208833,1,38,0.019858932,0.005232125,1,52,0.01589843,0.001060584,1,38,0.029412246,0.005299375,1,52,0.021303225,0.005248375,1,52,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=2_invariantly_infinitely_many_reachable_taus.dzn,0.017822087,0.004,139,0,0.0138376,0.002101958,1,0.012771785,0.001649792,1,275,0,133,0.013257062,0.001589709,1,133,0.013109863,0.0013245,2,27,0.013263953,0.001578083,1,133,0.01296221,0.001339709,2,27,0.013022959,0.001329792,2,27,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=2_no_duplication_of_messages.dzn,0.017716587,0.003,107,0,0.013437343,0.00273125,1,0.012949359,0.001722959,1,267,0,98,0.017348063,0.0018915,1,98,0.0283728,0.010476833,1,73,0.017491949,0.002244167,1,98,0.024853098,0.009935791,1,73,0.024470651,0.010167833,1,73,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=2_no_generation_of_messages.dzn,0.014250374,0.001,25,0,0.012139452,0.000407292,1,0.011631823,0.0003895,1,84,0,21,0.011702657,0.000334459,1,21,0.012493491,0.000943958,1,24,0.011640656,0.000392958,1,21,0.012214339,0.000945708,1,24,0.01243732,0.000767917,1,24,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=2_nodeadlock.dzn,0.014210153,0.002,41,0,0.011385679,0.000613,1,0.011644793,0.000486,1,81,0,35,0.012191868,0.000368333,1,35,0.011850882,0.000986583,1,25,0.011619914,0.000485834,1,35,0.012314951,0.000978375,1,25,0.012457848,0.00099775,1,25,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=2_read_then_eventually_send.dzn,0.017812133,0.003,79,0,0.01309818,0.001833,1,0.012891018,0.001055291,1,281,0,70,0.013070726,0.0010085,1,70,0.020406389,0.009243959,1,79,0.012796509,0.001446917,1,70,0.019529688,0.006011625,1,79,0.020236754,0.009063875,1,79,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=4_infinitely_often_enabled_then_infinitely_often_taken.dzn,0.076655114,0.051,510,0,0.037709939,0.029711208,1,0.031073093,0.018720917,1,3033,0,481,0.037791049,0.024560458,1,481,1.0543046,0.961697459,1,912,0.035587323,0.023852125,1,481,1.119506979,0.71431125,1,912,1.166692019,1.147286959,1,912,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=4_infinitely_often_read_write.dzn,0.016207576,0.003,61,0,0.013005126,0.001497375,1,0.012867594,0.001403959,1,197,0,51,0.012600565,0.000941875,1,51,0.017609441,0.006554667,1,61,0.01300416,0.001405291,1,51,0.017553818,0.006584458,1,61,0.017916119,0.006563958,1,61,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=4_infinitely_often_receive_d1.dzn,0.017989969,0.003,76,0,0.012965405,0.001444875,1,0.012682915,0.001101875,1,176,0,66,0.01249305,0.000859708,1,66,0.015735614,0.004171417,1,52,0.012535799,0.001095167,1,66,0.015621221,0.004155917,1,52,0.015202832,0.004147875,1,52,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=4_infinitely_often_receive_for_all_d.dzn,0.023143542,0.008,82,0,0.014993501,0.003381334,1,0.01403234,0.002369417,1,761,0,72,0.014467883,0.00175525,1,72,0.058798718,0.041118917,1,208,0.014178073,0.002377709,1,72,0.06509527,0.040037417,1,208,0.077939653,0.058453708,1,208,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=4_invariantly_infinitely_many_reachable_taus.dzn,0.021394372,0.007,267,0,0.016372848,0.004827625,1,0.014736331,0.003448625,1,557,0,257,0.019078648,0.003245125,1,257,0.018167233,0.004675667,2,55,0.018832386,0.003235333,1,257,0.018306243,0.004641708,2,55,0.018140078,0.004534917,2,55,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=4_no_duplication_of_messages.dzn,0.025641906,0.015,207,0,0.018274176,0.004760083,1,0.016457796,0.004734959,1,931,0,192,0.017837226,0.003460792,1,192,0.090823007,0.061135417,1,251,0.017549741,0.004739,1,192,0.097000504,0.061688709,1,251,0.10242027,0.087556333,1,251,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=4_no_generation_of_messages.dzn,0.020652413,0.006,61,0,0.013826883,0.002146416,1,0.012734914,0.001004834,1,560,0,53,0.013204658,0.000986083,1,53,0.031890512,0.017721458,1,152,0.012920296,0.001448666,1,53,0.031652999,0.019889666,1,152,0.031581831,0.019805375,1,152,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=4_nodeadlock.dzn,0.015730321,0.002,75,0,0.012444782,0.001126875,1,0.011967194,0.000845334,1,175,0,65,0.013221133,0.000648625,1,65,0.014774871,0.003376791,1,51,0.01222887,0.00085125,1,65,0.014990747,0.003377833,1,51,0.014741468,0.003382209,1,51,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=4_read_then_eventually_send.dzn,0.025232351,0.01,149,0,0.017491901,0.005112167,1,0.015964007,0.002878834,1,955,0,134,0.016090596,0.002806667,1,134,0.114353311,0.0715905,1,263,0.016862881,0.003983083,1,134,0.115619361,0.070198708,1,263,0.122150087,0.096605375,1,263,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=8_infinitely_often_enabled_then_infinitely_often_taken.dzn,0.263126147,0.158,1064,0,0.179514647,0.105869,1,0.148712587,0.122746417,1,12105,0,1023,0.143008709,0.105284583,1,1023,16.96625423,16.93915842,1,3648,0.148043811,0.127171083,1,1023,16.87982202,16.85525208,1,3648,17.7487402,17.722583,1,3648,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=8_infinitely_often_read_write.dzn,0.02141639,0.005,109,0,0.01524688,0.003523167,1,0.01442591,0.002669666,1,413,0,91,0.017039132,0.001895541,1,91,0.033393168,0.019841792,1,125,0.015843225,0.002904833,1,91,0.033107138,0.018258958,1,125,0.033482075,0.019545917,1,125,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=8_infinitely_often_receive_d1.dzn,0.019581008,0.004,144,0,0.0144333,0.002917208,1,0.013496542,0.002215917,1,364,0,126,0.013882434,0.001664458,1,126,0.024047184,0.013198542,1,104,0.013564694,0.002126458,1,126,0.02413342,0.012526541,1,104,0.024625885,0.012789208,1,104,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=8_infinitely_often_receive_for_all_d.dzn,0.075764656,0.051,158,0,0.026517141,0.012573542,1,0.021817911,0.0098925,1,3045,0,140,0.029646587,0.014489,1,140,1.408951998,1.391412792,1,832,0.033150578,0.013740292,1,140,1.394197941,1.376677166,1,832,1.308183908,1.237568167,1,832,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=8_invariantly_infinitely_many_reachable_taus.dzn,0.030022073,0.018,523,0,0.023394299,0.014798959,1,0.02011553,0.009233291,1,1121,0,505,0.023551238,0.006250875,1,505,0.023961401,0.009750833,2,111,0.020170641,0.008263333,1,505,0.024941099,0.009587208,2,111,0.024793434,0.012231417,2,111,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=8_no_duplication_of_messages.dzn,0.077591002,0.051,407,0,0.035189247,0.029404125,1,0.027745426,0.014390334,1,3387,0,380,0.029260063,0.014747667,1,380,1.13797828,0.843708833,1,919,0.032796502,0.01905775,1,380,1.125806069,0.942898583,1,919,1.087480068,1.07048375,1,919,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=8_no_generation_of_messages.dzn,0.060354102,0.034,133,0,0.022527087,0.009766709,1,0.019543886,0.006589584,1,2640,0,117,0.021666634,0.004538875,1,117,0.619646871,0.399312,1,720,0.020025527,0.006631208,1,117,0.595371735,0.388176333,1,720,0.612460864,0.655321792,1,720,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=8_nodeadlock.dzn,0.02293613,0.005,143,0,0.013462389,0.002371208,1,0.012999892,0.001713,1,363,0,125,0.015160346,0.001271583,1,125,0.024588776,0.012571792,1,103,0.013730395,0.001732875,1,125,0.022629738,0.0109395,1,103,0.022198498,0.01099,1,103,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)datasize=8_read_then_eventually_send.dzn,0.078075266,0.05,289,0,0.032061243,0.0155065,1,0.024818516,0.012306333,1,3431,0,262,0.028139293,0.011017416,1,262,1.268918478,0.916836042,1,943,0.027859569,0.013402375,1,262,1.25904845,0.785723833,1,943,1.317332983,1.296796083,1,943,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=branching-bisim.dzn,0.155231142,0.125,380,0,0.072117519,0.045544375,1,0.057805932,0.036340375,1,7852,0,372,0.056493711,0.037127916,1,372,6.563073874,6.542376625,1,5335,0.061217976,0.030564208,1,372,6.638885736,6.614021167,1,5335,6.620584965,6.596738459,1,5335,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=branching-sim.dzn,0.14664582,0.089,380,0,0.070704746,0.039433541,1,0.057255864,0.026572834,1,7852,0,372,0.045658004,0.031813625,1,372,6.638079166,6.604740792,1,5335,0.056559336,0.03494175,1,372,6.66028595,6.640898042,1,5335,6.657924175,6.63675325,1,5335,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
